GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,CBGROUP.id,CBGROUP.display-label,HUSBWIFE.id,HUSBWIFE.display-label,YEAR.id,FIRMALL,FIRMALL_PCT,RCPALL,RCPALL_PCT,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMNOPD,FIRMNOPD_PCT,RCPNOPD,RCPNOPD_PCT,FIRMALL_S,FIRMALL_PCT_S,RCPALL_S,RCPALL_PCT_S,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S,FIRMNOPD_S,FIRMNOPD_PCT_S,RCPNOPD_S,RCPNOPD_PCT_S
0100000US,,United States,,21,"Mining, quarrying, and oil and gas extraction",,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,22,Utilities,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,22,Utilities,,0003,Equally male-/female-owned,BI,Jointly owned but primarily operated by wife,2007,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S
0100000US,,United States,,22,Utilities,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X
0100000US,,United States,,22,Utilities,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,23,Construction,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,23,Construction,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,23,Construction,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,31-33,Manufacturing,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,31-33,Manufacturing,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X
0100000US,,United States,,31-33,Manufacturing,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,42,Wholesale trade,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,42,Wholesale trade,,0003,Equally male-/female-owned,BL,Item not reported,2007,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X
0100000US,,United States,,42,Wholesale trade,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,44-45,Retail trade,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,44-45,Retail trade,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,44-45,Retail trade,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,48-49,Transportation and warehousing,F7$603,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,48-49,Transportation and warehousing,F7$603,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,48-49,Transportation and warehousing,F7$603,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,51,Information,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,51,Information,,0003,Equally male-/female-owned,BL,Item not reported,2007,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X
0100000US,,United States,,51,Information,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,52,Finance and insurance,F7$604,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,52,Finance and insurance,F7$604,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X
0100000US,,United States,,52,Finance and insurance,F7$604,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,53,Real estate and rental and leasing,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,53,Real estate and rental and leasing,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,53,Real estate and rental and leasing,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,54,"Professional, scientific, and technical services",,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,54,"Professional, scientific, and technical services",,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,54,"Professional, scientific, and technical services",,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,BG,Jointly owned and equally operated by a husband and wife,2007,,,,,,,,,,,,,,E$X,,E$X,,,,,,,,,,,,,,E$X,,E$X
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,BH,Jointly owned but primarily operated by husband,2007,,,,,,,,,,,,,,E$X,,E$X,,,,,,,,,,,,,,E$X,,E$X
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,BI,Jointly owned but primarily operated by wife,2007,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,BJ,Not jointly owned by a husband and wife,2007,,,,,,,,,,,,,,E$X,,E$X,,,,,,,,,,,,,,E$X,,E$X
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,BK,Total reporting,2007,,,,,,,,,,,,,,E$X,,E$X,,,,,,,,,,,,,,E$X,,E$X
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,55,Management of companies and enterprises,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,56,Administrative and support and waste management and remediation services,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,56,Administrative and support and waste management and remediation services,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,56,Administrative and support and waste management and remediation services,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,61,Educational services,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,61,Educational services,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X
0100000US,,United States,,61,Educational services,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,62,Health care and social assistance,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,62,Health care and social assistance,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,62,Health care and social assistance,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,71,"Arts, entertainment, and recreation",,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,71,"Arts, entertainment, and recreation",,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,,E$X,,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X,E$S,E$X
0100000US,,United States,,71,"Arts, entertainment, and recreation",,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,72,Accommodation and food services,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,72,Accommodation and food services,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,72,Accommodation and food services,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,81,Other services (except public administration),F7$605,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,81,Other services (except public administration),F7$605,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,81,Other services (except public administration),F7$605,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,A1,All firms,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,BG,Jointly owned and equally operated by a husband and wife,2007,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,BH,Jointly owned but primarily operated by husband,2007,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,BI,Jointly owned but primarily operated by wife,2007,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,BJ,Not jointly owned by a husband and wife,2007,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,BK,Total reporting,2007,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S,E$S
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,BL,Item not reported,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
0100000US,,United States,,99,Industries not classified,,0003,Equally male-/female-owned,ZZ,Complete nonresponse,2007,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X,,E$X
