Name, TotalSnowfall, mcnt
MARQUETTE 1.4 SE, M, 3220
AURORA 0.5 NW, M, 3520
STAMFORD 1.9 E, M, 2975
ALMA 11.4 NE, M, 2912
ORLEANS 0.2 E, M, 3477
MAYWOOD 12.4 WSW, M, 3557
PALISADE 1.1 E, M, 3306
HAYES CENTER 5.9 NW, M, 3575
PALISADE 4.0 ENE, M, 3363
CULBERTSON 6.0 WNW, M, 3543
STRATTON 5.7 NNW, M, 3409
TRENTON 3.9 W, M, 3491
STRATTON 4.7 SSW, M, 3182
CULBERTSON 3.8 SW, M, 3309
CULBERTSON 6.7 W, M, 3528
CULBERTSON 14.5 S, M, 3390
TRENTON 0.3 NNE, M, 3496
CULBERTSON 3.1 W, M, 2321
EWING 9.7 S, M, 3155
CHADRON 3.6 WSW, M, 3353
WHITNEY 4.5 WSW, M, 3575
CRAWFORD 2.1 ENE, M, 3564
CHADRON 8.5 S, M, 3588
HEMINGFORD 12.0 NE, M, 3530
CHADRON 39.3 WSW, M, 2976
COZAD 0.9 NNE, M, 2885
GOTHENBURG 0.7 NNE, M, 3314
CHAPPELL 0.2 N, M, 3210
BIG SPRINGS 0.8 W, M, 3377
CHAPPELL 0.7 E, M, 3618
BIG SPRINGS 0.4 SSE, M, 3498
CHAPPELL 12.0 E, M, 3586
CHAPPELL 4.5 W, M, 2542
WAYNE 13.7 NNE, M, 3497
PONCA 0.1 SSE, M, 3507
PONCA 8.6 W, M, 3569
HOOPER 3.6 NE, M, 2760
OMAHA 11.9 WSW, M, 3297
OMAHA 5.2 WNW, M, 3166
ELKHORN 2.8 N, M, 3428
OMAHA 14.2 SW, M, 3618
OMAHA 6.7 WNW, M, 3346
BENNINGTON 0.1 ESE, M, 2018
OMAHA 12.0 W, M, 3474
BENKELMAN 10.4 E, M, 2947
MAX 6.7 NNE, M, 3464
NICKERSON 3NE, M, 2533
ADAMS, M, 1973
CALLAWAY 8WSW, M, 1950
JUNIATA 1.5 S, M, 2991
JUNIATA 6.0 SSW, M, 1968
HOLSTEIN 0.1 NW, M, 3169
AYR 3.5 NE, M, 88
ROSELAND 2.8 SW, M, 2302
HASTINGS 5.4 WSW, M, 3268
MCCOOK, M, 610
WAUNETA, M, 1969
ENDERS LAKE, M, 1814
STERLING, M, 2864
WILBER 3 W, M, 3643
ELWOOD 8 S, M, 20
GENEVA, M, 62
MINDEN, 229.3, 4
BERTRAND, M, 1587
STOCKVILLE, M, 284
HAYES CENTER, M, 273
IMPERIAL MUNI AP, M, 3622
IMPERIAL, M, 123
HASTINGS 4 N, 289.2, 1
LAMAR, M, 2688
HICKMAN, M, 2253
CRETE, M, 3649
FAIRMONT, M, 1138
CURTIS 3 NNE, M, 1227
CRETE, M, 497
NEBRASKA CITY 2NW, 251.7, 4
SYRACUSE, M, 94
ROCA 6NNE, M, 3067
FRIEND 3E, 242.0, 0
EUSTIS 2 NW, 289.2, 5
MOOREFIELD, M, 2348
KEARNEY MUNI AP, M, 3055
KEARNEY 4 NE, M, 33
MC COOL JUNCTION, M, 2662
GIBBON 3 ENE, M, 3652
WELLFLEET, M, 1568
UNION 2 SE, M, 3643
LINCOLN UNIV PWR PLT, M, 1401
WOOD RIVER 1 NNW, M, 1553
RIVERDALE 2 NW, M, 3608
COZAD 2 S, M, 2192
WALLACE 2 W, M, 126
WEEPING WATER, M, 1584
MERRIMAN, M, 2120
FRANKLIN 2, 174.9, 9
BEATRICE 1N, M, 257
GENOA, M, 3583
CROFTON, 371.1, 5
PAPILLION, M, 1248
STAPLETON 5 W, M, 150
NEBRASKA CITY 2, M, 3630
PLATTE CTR, M, 3652
OXFORD 7 NW, 205.5, 7
SHICKLEY 4 S, 186.9, 0
ROYAL 2SE, M, 39
VALLEY 1 WNW, 330.8, 5
SHELBY 3 NE, M, 199
SPRINGFIELD 7 E, M, 1411
RULO 2W, M, 1205
YORK, M, 3650
GRAND ISLAND, M, 3649
PARKS 17N, M, 245
GRETNA 4 NE, 335.2, 5
HYANNIS 5N, M, 2705
MAX 13N, M, 121
DANNEBROG #2, M, 3519
HASKELL AG LAB, M, 1621
KILGORE 1 NE, M, 392
VALENTINE #1, M, 228
NORFOLK 4W, M, 973
GERING 1 NW, M, 3633
LODGEPOLE 8N, M, 109
SWAN LAKE, M, 1229
MC COOK, M, 237
MCCOOK MUNI AP, M, 3641
NORFOLK KARL STEFAN AP, 302.9, 0
CLAY CTR, M, 38
BLOOMFIELD 10.2 NW, M, 3111
ROYAL 7.7 N, M, 3591
CROFTON 7.6 NE, M, 3439
CROFTON 4.4 WNW, M, 2202
LINCOLN 4.8 ENE, M, 3458
LINCOLN 2.0 N, M, 3549
LINCOLN 4.3 NNW, M, 3039
LINCOLN 1.5 WSW, M, 3506
LINCOLN 7.5 NNW, M, 3006
LINCOLN 3.0 E, M, 3526
LINCOLN 1.4 WSW, M, 3541
LINCOLN 3.9 NW, M, 3038
LINCOLN 1.8 SE, M, 2940
LINCOLN 3.8 WSW, M, 2098
LINCOLN 4.3 SSE, M, 3452
LINCOLN 1.6 W, M, 3505
ROCA 1.7 E, M, 3465
BENNET 1.3 NE, M, 2872
NORTH PLATTE 1.9 WNW, M, 3509
SUTHERLAND 10.6 S, M, 3159
NORTH PLATTE 3.1 SSW, M, 3478
NORTH PLATTE 4.6 S, M, 2990
STAPLETON 8.1 SSE, M, 3129
NORTH PLATTE 12.7 NE, M, 3548
NORTH PLATTE 4.8 NE, M, 3501
NORTH PLATTE 6.2 N, M, 3547
NORTH PLATTE 5.9 WSW, M, 3534
SUTHERLAND 1.4 W, M, 2279
NORTH PLATTE 1.2 ENE, M, 3590
STAPLETON 9.1 NNW, M, 2998
STAPLETON 0.2 SE, M, 3590
STAPLETON 12.4 N, M, 3251
STAPLETON 0.2 E, M, 3621
BURWELL 8.2 WNW, M, 3032
TAYLOR 12.9 NNW, M, 3340
MILBURN 11.1 NNE, M, 3223
TILDEN 4.1 SSE, M, 3136
NORFOLK 4.7 WSW, M, 3531
MEADOW GROVE 8.8 S, M, 3482
STAPLETON 17.1 NW, M, 3397
SUTHERLAND 35.0 NNW, M, 3431
PALMER 0.2 ESE, M, 2980
SILVER CREEK 0.3 N, M, 3612
CHAPMAN 3.4 SW, M, 3395
CLARKS 2.2 SE, M, 3591
BAYARD 6.9 ENE, M, 3453
BROWNVILLE 0.2 E, M, 3206
NEMAHA .1 NORTH, M, 3490
BROCK 0.4 S, M, 3603
PERU 0.9 N, M, 3590
BROCK 4.8 WSW, M, 3327
NELSON 0.3 E, M, 3531
LAWRENCE 3.5 ENE, M, 3449
NELSON 0.3 S, M, 3325
NELSON 6.3 N, M, 3292
LAWRENCE 0.2 ESE, M, 3352
NEBRASKA CITY 0.7 ENE, M, 3499
UNADILLA 0.2 WSW, M, 3073
SYRACUSE 4.0 E, M, 3391
UNADILLA 4.0 NNW, M, 3474
PALMYRA 0.5 W, M, 3528
NEBRASKA CITY 4.2 WSW, M, 3475
BURCHARD 6.3 NNW, M, 2939
DUBOIS 2.7 WNW, M, 3383
STEINAUER 3.8 W, M, 3514
GRANT 10.2 W, M, 3511
ATKINSON 0.3 NNE, M, 2894
ONEILL 16.5 N, M, 3305
AMELIA 8.8 WSW, M, 3596
ATKINSON 9.7 NNE, M, 3521
EWING 9.8 SW, M, 3502
SPENCER 5.9 SE, M, 3132
MULLEN 0.2 W, M, 3570
MULLEN 11.9 SSW, M, 3453
THEDFORD 23 N, M, 3130
WOLBACH 6.3 SE, M, 2760
SAINT PAUL 7.6 NNE, M, 3122
DILLER 0.2 NW, M, 3484
FAIRBURY 4.7 E, M, 3302
JANSEN 4.3 NE, M, 3606
PLYMOUTH 1.9 E, M, 3408
COOK 3.6 ESE, M, 3556
HEARTWELL 3.7 S, M, 3458
MINDEN 0.4 ESE, M, 2638
AXTELL 4.8 SE, M, 3480
OGALLALA 8.3 ESE, M, 3541
PAXTON 4.2 NNE, M, 3574
PAXTON 11.1 N, M, 3622
PAXTON 3.8 NE, M, 1646
OGALLALA 0.6 N, M, 1277
SUTHERLAND 9.3 WSW, M, 3195
PAXTON 7.4 S, M, 3466
SPARKS 8.7 ESE, M, 3497
KIMBALL 5.8 NE, M, 3494
KIMBALL 10.0 W, M, 3329
WAUSA 2.4 NW, M, 3517
VERDIGRE 12.1 WNW, M, 3172
VERDEL 25.0 S, M, 3597
VERDIGRE 11.8 WNW, M, 3540
VERDIGRE 3.5 WNW, M, 3535
BASSETT 9.9 NNE, M, 3345
FRIEND 1.2 E, M, 3579
TOBIAS 4.9 NE, M, 3368
CRETE 2.4 NE, M, 2947
WILBER 0.3 WNW, M, 3378
FRIEND 0.2 NNE, M, 3444
WILBER 4.1 W, M, 3423
DORCHESTER 6.2 SW, M, 3570
FRIEND 7.6 SSW, M, 3388
FRIEND 5.5 SSW, M, 3626
BELLEVUE 3.6 SW, M, 3427
PAPILLION 2.4 ESE, M, 3174
OFFUTT AFB 0.6 NE, M, 3272
BELLEVUE 2.0 NW, M, 3284
PAPILLION 1.3 NE, M, 2326
PAPILLION 1.8 SW, M, 3505
SPRINGFIELD 0.5 ENE, M, 3509
PAPILLION 1.2 WSW, M, 2184
BELLEVUE 2.7 NW, M, 3393
GRETNA 1.0 SSW, M, 3501
BELLEVUE 1.9 WNW, M, 2555
OMAHA 13.7 WSW, M, 3294
BELLEVUE 3.7 WNW, M, 2602
CERESCO 0.2 S, M, 3526
CERESCO 3.3 E, M, 3422
WAHOO 1.4 SSE, M, 3552
MINATARE 3.2 NE, M, 2244
LYMAN 0.2 ENE, M, 3365
MITCHELL 2.3 WNW, M, 2706
GERING 1.0 ESE, M, 3618
LYMAN 15.0 SSE, M, 3543
MILFORD 0.4 WSW, M, 3191
SEWARD 1.1 NE, M, 3360
ASHTON 0.4 NW, M, 3576
RUSHVILLE 0.3 S, M, 3450
GORDON 10.9 S, M, 3514
LAKESIDE 22.5 NNE, M, 3521
ALLIANCE 25.1 ENE, M, 3336
HAY SPRINGS 18.9 SSE, M, 3560
HAY SPRINGS 7.8 N, M, 3494
HAY SPRINGS 16.2 S, M, 3491
HAY SPRINGS 13.9 SE, M, 1895
ALLIANCE 19.2 ENE, M, 3483
RUSHVILLE 11.6 NNW, M, 3390
GORDON 4.9 W, M, 3349
HARRISON 17.3 NNE, M, 3418
HARRISON 23.7 SSE, M, 2854
LEIGH 7.2 WNW, M, 3549
STANTON 2.9 NNW, M, 3360
STANTON 5.6 WSW, M, 3223
PILGER 7.4 SSE, M, 3323
HEBRON 0.8 SW, M, 2064
BRUNING 2.0 SW, M, 3048
ALEXANDRIA 0.1 WNW, M, 2739
ALEXANDRIA 10.8 ESE, M, 3453
THEDFORD 11.4 WSW, M, 3073
SENECA 0.1 WSW, M, 3603
ORD 1.4 NW, M, 3476
BURWELL 8.3 S, M, 3482
ORD 9.1 SSE, M, 3321
COMSTOCK 3.5 E, M, 3537
NORTH LOUP 6.6 N, M, 3449
COMSTOCK 4.9 ENE, M, 3148
ORD 10.8 NE, M, 3465
ELYRIA 6.3 W, M, 3177
HERMAN 5.2 W, M, 3548
LEWELLEN, M, 1456
OSHKOSH 8 SW, M, 559
FULLERTON, M, 668
BENNINGTON 3 WSW, M, 123
FREMONT, M, 56
WOLBACH, M, 186
ARCADIA, M, 358
BROKEN BOW 2 W, M, 556
ARNOLD, M, 1154
OSHKOSH, M, 573
DALTON, 553.5, 3
BROKEN BOW MUNI AP, M, 3626
NORTH BEND, M, 3634
SCHUYLER, M, 1157
COLUMBUS 3 NE, M, 21
GENOA 2 W, 305.4, 2
NORTH LOUP, M, 1949
OSHKOSH 10 NE, M, 2979
LISCO, M, 222
BLAIR, M, 3651
GREELEY, M, 187
ARTHUR, M, 14
ORD #2, M, 315
ANSELMO 2 SE, 375.5, 4
ORD EVELYN SHARP FLD, M, 3648
ALBION, M, 1781
BRIDGEPORT, M, 156
HARRISBURG 12WNW, M, 13
UEHLING, M, 1334
DODGE, M, 2179
HOWELLS, M, 30
CRESTON, M, 3647
TEKAMAH, M, 18
LORETTO 7W, M, 1212
TAYLOR, M, 615
CRESCENT LAKE, M, 305
WEST POINT, 272.5, 4
MADISON 2W, M, 1458
ERICSON 6 WNW, M, 475
BARTLETT 1S, M, 643
SCOTTSBLUFF HEILIG AP, 469.9, 1
LYONS, M, 826
LYMAN, M, 3108
BEEMER, M, 3651
ELGIN, M, 50
MITCHELL 5 E, M, 2818
LINCOLN MUNI AP, 245.7, 0
YORK, M, 2338
BRADSHAW, M, 207
AURORA, M, 2423
MADRID, M, 1203
MALCOLM, M, 1268
SEWARD, M, 197
UTICA, M, 1224
CAIRO 5 S, M, 3651
MILLER, 257.3, 3
GOTHENBURG, M, 1014
RAYMOND 2NE, M, 1270
GRESHAM 3W, M, 263
GRAND ISLAND AP, 251.3, 0
RAVENNA, M, 219
ASHLAND 2, M, 169
SURPRISE, M, 12
POLK, M, 1040
OCONTO, M, 784
NORTH PLATTE EXP FM, M, 416
BIG SPRINGS, M, 375
CENTRAL CITY, M, 12
NORTH PLATTE RGNL AP, 327.1, 0
PAXTON, M, 939
OGALLALA, M, 558
SIDNEY MUNI AP, M, 3625
SIDNEY 6 NNW, M, 250
MEAD 6 S, M, 149
ITHACA, M, 3624
OSCEOLA, M, 12
HERSHEY 5 SSE, M, 443
LODGEPOLE, M, 2166
SAINT PAUL, M, 615
MASON CITY, M, 432
KINGSLEY DAM, M, 420
POTTER, M, 3651
KIMBALL 2NE, 332.6, 7
MALMO 3 E, M, 3637
DAVID CITY, M, 1211
ASHTON, M, 3353
LOUP CITY, M, 1007
CLAY CTR 6 ESE, M, 230
OMAHA EPPLEY AIRFIELD, 273.7, 0
CHADRON MUNI AP, M, 3620
CHADRON 3 SW, M, 319
BURWELL, M, 99
HASTINGS 2.3 N, M, 3244
KENESAW 2.4 W, M, 3370
HASTINGS 4.4 ESE, M, 3348
BLUE HILL 2.2 NE, M, 1768
GLENVIL 8.3 SW, M, 3081
KENESAW 0.8 SE, M, 3148
JUNIATA 2.7 ENE, M, 3017
HASTINGS 1.9 SSW, M, 3163
HASTINGS 1.4 NW, M, 3449
AYR 0.3 SSE, M, 3255
JUNIATA 0.2 WNW, M, 3632
HASTINGS 1.8 N, M, 3493
HASTINGS 3.3 SW, M, 3438
HASTINGS 2.1 W, M, 3503
ROSELAND 3.9 SSE, M, 2413
HASTINGS 2.8 SE, M, 3653
ORCHARD 0.2 ENE, M, 2505
HARRISBURG 12.4 WNW, M, 3330
HARRISBURG 0.2 NW, M, 3536
HARRISBURG 6.2 NE, M, 3564
GERING 10.1 S, M, 3295
DUNNING 6.4 WSW, M, 3439
BREWSTER 6.4 E, M, 3423
DUNNING 5.3 NW, M, 3613
CEDAR RAPIDS 4.1 SSW, M, 2900
PETERSBURG 7.9 W, M, 3039
HEMINGFORD 0.2 ESE, M, 3339
HEMINGFORD 5.1 ENE, M, 3408
ALLIANCE 29.1 W, M, 3551
ALLIANCE 1.2 NW, M, 2752
ALLIANCE 13.6 N, M, 3022
BUTTE 0.1 S, M, 3567
SPENCER 3.5 NE, M, 3455
BUTTE 0.4 ESE, M, 3621
HASTINGS MUNI AP, M, 12
CANADAY STEAM PLT, M, 86
HUBBELL, M, 33
HARDY, M, 1861
SUPERIOR 4E, M, 93
HAIGLER, M, 689
BARNESTON, M, 3472
GUIDE ROCK, M, 2100
RIVERTON, M, 3494
NAPONEE, 196.8, 2
HARLAN CO LAKE, M, 529
BENKELMAN, M, 12
PAWNEE CITY, M, 286
WYMORE, M, 1860
FAIRBURY, 202.0, 1
RED CLOUD, 192.3, 2
ORLEANS 2 W, M, 842
STAMFORD 2E, M, 3648
BEAVER CITY, 211.0, 1
WILSONVILLE, M, 305
HEBRON, M, 218
TRENTON DAM, M, 518
STRATTON, M, 921
TABLE ROCK 4 N, M, 692
NELSON, 208.0, 2
MC COOK #2, 202.7, 8
CULBERTSON, M, 42
VIRGINIA, M, 2222
BEATRICE, M, 3651
EDISON, M, 40
CAMBRIDGE, 247.4, 3
PRAGUE, M, 1010
BRUNING, 229.4, 0
DEWEESE 4 SE, M, 2343
BLUE HILL 4 SW, M, 191
UPLAND, M, 251
RAGAN, M, 1858
AUBURN 5 ESE, 330.5, 3
TECUMSEH, 236.5, 1
MEDICINE CREEK DAM, M, 282
RED WILLOW DAM, M, 1307
PALISADE, M, 342
BROWNVILLE, M, 3609
WESTERN, M, 1784
HOLDREGE, M, 13
HADAR 1 SE, M, 3650
OAKDALE, M, 1195
CHAMBERS, M, 222
PURDUM, M, 187
MULLEN, M, 1704
ELLSWORTH, M, 259
ALLIANCE MUNI AP, M, 3631
PENDER, M, 3594
PENDER #2, M, 3645
NELIGH, M, 1240
ALLIANCE, M, 1244
WALTHILL, M, 241
CLEARWATER, M, 3620
ELSMERE, M, 665
WAYNE, M, 1355
PIERCE, M, 1099
AMELIA, M, 3648
EMERSON, M, 860
WAKEFIELD, M, 20
EWING, M, 429
MULLEN 21 NW, M, 3403
ELLSWORTH 15 NNE, M, 2479
HOMER 3 NE, M, 2437
RANDOLPH, M, 710
ORCHARD 1 NW, M, 3652
OSMOND, M, 2326
HEMINGFORD, M, 12
AGATE 3 E, M, 24
CREIGHTON, M, 1224
O NEILL, M, 51
COLERIDGE, M, 3607
HAY SPRINGS 12 S, M, 2445
ATKINSON 3SW, M, 814
AINSWORTH, M, 33
VALENTINE NWR, M, 367
HARTINGTON, M, 1196
BLOOMFIELD, M, 32
NEWPORT, 441.1, 5
NEWCASTLE, M, 521
HAY SPRINGS, M, 3000
FT ROBINSON, M, 287
HARRISON, 550.5, 8
RUSHVILLE, M, 2221
NIOBRARA, M, 3501
NORDEN 6 SSW, M, 3644
LYNCH, M, 159
SPENCER 5 SSE, M, 330
SPRINGVIEW, M, 1053
GORDON 6 N, M, 129
VALENTINE MILLER FLD, 351.0, 0
BUTTE, M, 110
MILFORD 0.1 S, M, 3607
BEE 0.2 SSE, M, 3539
STANTON 4.9 SSE, M, 3629
HEBRON 6.6 S, M, 3536
DESHLER 3.8WSW, M, 3514
THEDFORD 1.2 WNW, M, 3589
HALSEY 1.7 W, M, 3632
STAPLETON 26.4 NW, M, 3643
THEDFORD 12.3 NE, M, 3636
ORD 4.6 WSW, M, 3565
ORD 19.6 SSW, M, 3613
HOSKINS 0.1 SSE, M, 3626
BLUE HILL 2.2 W, M, 3552
GUIDE ROCK 1.3 WSW, M, 3624
INAVALE 4.9 SSW, M, 3466
GUIDE ROCK 9.2 N, M, 2975
SPALDING 5.3 NW, M, 3595
YORK 0.6 NNE, M, 3591
GRESHAM 0.2 E, M, 3550
OMAHA 5.6 NNE, M, 3651
HARTINGTON 7.4 N, M, 3636
CHAPPELL 0.3 WNW, M, 3579
CAIRO 32.4 SE, M, 3624
RUSKIN 0.4 ESE, M, 3606
HASTINGS 3.2 NNE, M, 3648
BURWELL 0.4 E, M, 3649
SCOTTSBLUFF 1 E, M, 12
BRIDGEPORT 18WSW, M, 288
BROADWATER 3WNW, M, 635
FT CALHOUN 4W, M, 1278
BUSHNELL 15S, 552.7, 7
ORCHARD 9 NNE, M, 488
BELGRADE, M, 355
PLAINSVIEW RCH, M, 25
DALTON 13W, M, 3326
ANGORA 8 NE, M, 3327
SALEM 5SW, 307.2, 1
HARRISON 9 NE, M, 221
AGATE 5N, M, 3167
STANTON 7 NE, M, 17
HARRISON 4 NW, M, 135
CHADRON 3 NE, M, 1102
WESTON 3NW, M, 359
BARADA 3SW, M, 2985
HUMPHREY, M, 1917
PLATTSMOUTH 1E, M, 1378
ALLIANCE 19WNW, M, 1711
NIOBRARA 6WSW, M, 2586
Scottsbluff Area, 469.9, 1
Grand Island Area, 251.3, 0
North Platte Area, 327.1, 0
Lincoln Area, 245.7, 0
Norfolk Area, 302.9, 0
Omaha Area, 273.7, 0
Valentine Area, 351.0, 0
MULLEN 15S, M, 2181
FAIRBURY #2, M, 3646
INDIANOLA 1S, M, 3377
DANNEBROG 4NW, M, 1748
SHUBERT 2SW, M, 608
HASTINGS 3.0 SE, M, 2862
KEARNEY 1.9 NNE, M, 3194
ELKHORN 3.7 SSE, M, 3132
SHICKLEY 0.2 SSE, M, 3248
LINCOLN 4.5 SE, M, 3236
NORTH PLATTE 3.6 S, M, 3044
NORTH PLATTE 1.0 W, M, 3174
WAHOO 1.7 S, M, 3373
PAPILLION 1.7 SW, M, 3244
PAPILLION 1.3 SSW, M, 3513
YORK 3N, M, 131
OSMOND NO. 1, M, 1907
VIRGINIA 4SSE, M, 1551
LODGEPOLE NO 2, M, 1512
VERDEL 6SSE, M, 2753
ALLIANCE 1WNW 2, M, 3215
VENANGO 0.2 WSW, M, 3309
GRANT 5.0 SE, M, 3345
MADRID 10.2 SSE, M, 3559
VENANGO 6.6 E, M, 3513
GRANT 0.2 N, M, 3305
FUNK 6.7 NNW, M, 3214
FUNK 7.2 NNE, M, 3522
BERTRAND 6.1 SE, M, 3257
LOOMIS 0.2 SW, M, 3462
OSMOND 6.3 WSW, M, 3309
NORFOLK 5.1 NNW, M, 3490
PIERCE 7.0 SSW, M, 2925
PLAINVIEW 0.4 NW, M, 3185
PLAINVIEW 3.6 S, M, 3364
OSMOND 7.8 E, M, 3331
PIERCE 6.2 WSW, M, 3423
MONROE 4.9 NNW, M, 3290
COLUMBUS 1.3 NW, M, 2987
COLUMBUS 4.9 N, M, 3498
STROMSBURG 6.1 W, M, 3409
OSCEOLA 4.2 W, M, 3416
STROMSBURG 0.1 WSW, M, 3633
GRESHAM 6.9 NW, M, 3390
CULBERTSON 4.5 E, M, 2470
MCCOOK 1.5 ESE, M, 3520
MCCOOK 0.8 WNW, M, 2863
MCCOOK 4.9 W, M, 3586
INDIANOLA 4.5 WSW, M, 3493
FALLS CITY 1.5 E, M, 3448
SALEM 1.8 N, M, 3571
FALLS CITY 13.4 WSW, M, 2471
LONG PINE 5.5 E, M, 3365
BASSETT 14.3 SE, M, 3070
BASSETT 0.5 SSE, M, 2846
WAYNE 3.1 E, M, 3574
WAYNE 1.1 NE, M, 3204
WINSIDE 3.9 WNW, M, 3458
LAWRENCE 3.8 SSW, M, 3422
BLADEN 8.7 SW, M, 3408
BLUE HILL 4.0 E, M, 2066
BLUE HILL 5.0 SW, M, 3335
EWING 17.4 SW, M, 3060
BARTLETT 7.3 W, M, 3570
YORK 0.6 SW, M, 3471
YORK 0.9 SW, M, 3535
YORK 4.6 WNW, M, 3569
EXETER 7.3 NNE, M, 2828
GRESHAM 1.7 WNW, M, 3325
BRADSHAW 6.4 N, M, 3062
HENDERSON 2.5 N, M, 3426
HENDERSON 4.6 ENE, M, 2944
BRADSHAW 10.1 NNE, M, 3591
YORK 4.0 NNW, M, 3025
MCCOOL JUNCTION 1.1 ENE, M, 1790
YORK 4.9 SSW, M, 3020
MCCOOL JUNCTION 0.7 S, M, 3056
YORK 1.0 WSW, M, 3586
BENEDICT 0.2 NE, M, 2230
YORK 1.0 WSW, M, 3584
GORDON 3 W, M, 2923
CHAPPELL, M, 505
GROSS 1 E, M, 335
BAYARD 4 NNE, M, 2936
GLENVIL 2.3 WSW, M, 2315
JUNIATA 6.9 WSW, M, 2820
HASTINGS 5.3 NNW, M, 1718
JUNIATA 4.8 NNE, M, 2179
